  t=34.744118, Gx=-1.923664, Gy=-0.198473, Gz=-1.427481, Ax=-0.764648, Ay=-0.574951, Az=0.164551
  t=34.744118, Gx=-0.633588, Gy=-1.480916, Gz=-1.267176, Ax=-0.752686, Ay=-0.575928, Az=0.161377
  t=34.744118, Gx=-1.770992, Gy=-0.282443, Gz=-1.312977, Ax=-0.754639, Ay=-0.562988, Az=0.179443
  t=34.744118, Gx=-2.061069, Gy=-0.335878, Gz=-1.099237, Ax=-0.757080, Ay=-0.579590, Az=0.169434
  t=34.791176, Gx=-2.030534, Gy=-1.839695, Gz=-1.320611, Ax=-0.760986, Ay=-0.577881, Az=0.159668
  t=34.838235, Gx=-3.877863, Gy=-0.190840, Gz=-1.213740, Ax=-0.756592, Ay=-0.575195, Az=0.158936
  t=34.932353, Gx=-2.045802, Gy=-0.007634, Gz=-1.267176, Ax=-0.759766, Ay=-0.577637, Az=0.164062
  t=34.885294, Gx=-2.183206, Gy=-0.091603, Gz=-0.839695, Ax=-0.748047, Ay=-0.562744, Az=0.172852
  t=34.791176, Gx=-2.580153, Gy=0.564885, Gz=-0.893130, Ax=-0.762939, Ay=-0.574707, Az=0.159180
  t=34.791176, Gx=-2.106870, Gy=-0.442748, Gz=-1.328244, Ax=-0.756348, Ay=-0.578613, Az=0.163330
  t=34.932353, Gx=-2.152672, Gy=-0.145038, Gz=-1.038168, Ax=-0.759277, Ay=-0.563721, Az=0.166992
  t=34.932353, Gx=75.519084, Gy=-50.931298, Gz=-72.587786, Ax=-0.637207, Ay=-0.663086, Az=-0.021240
  t=34.932353, Gx=35.671756, Gy=-49.267176, Gz=1.664122, Ax=-0.801025, Ay=-0.394287, Az=0.435791
  t=34.791176, Gx=-15.885496, Gy=18.618321, Gz=-17.442748, Ax=-0.750488, Ay=-0.563232, Az=0.571777
  t=34.932353, Gx=-53.343511, Gy=47.488550, Gz=8.427481, Ax=-0.619385, Ay=-0.515869, Az=0.666748
  t=34.838235, Gx=8.038168, Gy=-40.709924, Gz=-14.267176, Ax=-0.805176, Ay=-0.423340, Az=0.373291
  t=34.791176, Gx=-1.618321, Gy=-0.526718, Gz=0.931298, Ax=-0.645020, Ay=-0.473389, Az=0.544189
