accel:{'x': 0.312, 'y': -0.339, 'z': -0.788}, gyro:{'x': 4.837, 'y': 24.315, 'z': 20.622}, agnet:{'x': -15.134, 'y': -2.644, 'z': -27.252}
accel:{'x': 0.488, 'y': -0.141, 'z': -1.013}, gyro:{'x': -19.15, 'y': -83.023, 'z': -62.141}, agnet:{'x': -11.307, 'y': -2.644, 'z': -25.221}
accel:{'x': 0.513, 'y': -0.384, 'z': -0.802}, gyro:{'x': 9.583, 'y': 14.313, 'z': 3.548}, agnet:{'x': -16.699, 'y': 0.353, 'z': -31.484}
accel:{'x': 0.334, 'y': -0.412, 'z': -0.846}, gyro:{'x': -15.137, 'y': 60.394, 'z': 30.174}, agnet:{'x': -14.438, 'y': -0.881, 'z': -29.96}
accel:{'x': 0.599, 'y': -0.227, 'z': -1.057}, gyro:{'x': 22.926, 'y': 0.488, 'z': -23.834}, agnet:{'x': -13.742, 'y': -1.939, 'z': -27.929}
accel:{'x': 0.481, 'y': -0.128, 'z': -0.931}, gyro:{'x': 6.454, 'y': -57.777, 'z': -37.445}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.349, 'y': -0.249, 'z': -0.979}, gyro:{'x': -11.398, 'y': -36.308, 'z': -18.944}, agnet:{'x': -14.96, 'y': -1.058, 'z': -32.161}
accel:{'x': 0.209, 'y': -0.211, 'z': -0.903}, gyro:{'x': 30.373, 'y': 49.568, 'z': 12.527}, agnet:{'x': -16.525, 'y': 0.881, 'z': -34.7}
accel:{'x': 0.304, 'y': -0.106, 'z': -1.012}, gyro:{'x': -22.011, 'y': -36.789, 'z': 11.505}, agnet:{'x': -16.004, 'y': 0.705, 'z': -30.807}
accel:{'x': 0.423, 'y': -0.208, 'z': -1.186}, gyro:{'x': 0.565, 'y': -53.871, 'z': -17.479}, agnet:{'x': -16.873, 'y': 2.997, 'z': -34.7}
accel:{'x': 0.366, 'y': -0.303, 'z': -0.844}, gyro:{'x': 10.338, 'y': -1.93, 'z': 15.923}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.392, 'y': -0.215, 'z': -0.985}, gyro:{'x': 15.434, 'y': -24.101, 'z': -36.11}, agnet:{'x': -17.221, 'y': 1.939, 'z': -34.7}
accel:{'x': 0.295, 'y': -0.259, 'z': -0.934}, gyro:{'x': -7.027, 'y': 14.824, 'z': -2.289}, agnet:{'x': -18.787, 'y': 2.821, 'z': -36.9}
