  t=22.602941, Gx=-6.137405, Gy=0.396947, Gz=-0.129771, Ax=-0.492432, Ay=-0.783691, Az=0.273926
  t=22.650000, Gx=-5.946565, Gy=0.473282, Gz=-0.213740, Ax=-0.489990, Ay=-0.778564, Az=0.269287
  t=22.744118, Gx=-5.541985, Gy=0.381679, Gz=0.061069, Ax=-0.494385, Ay=-0.778564, Az=0.275635
  t=22.838235, Gx=-6.473282, Gy=0.175573, Gz=-0.381679, Ax=-0.498047, Ay=-0.782959, Az=0.277100
  t=22.932353, Gx=-5.618321, Gy=0.862595, Gz=-0.053435, Ax=-0.494629, Ay=-0.781738, Az=0.271973
  t=22.885294, Gx=-7.816794, Gy=0.496183, Gz=-0.190840, Ax=-0.491455, Ay=-0.779053, Az=0.268311
  t=22.885294, Gx=-6.175573, Gy=0.351145, Gz=-0.145038, Ax=-0.489746, Ay=-0.786865, Az=0.270996
  t=22.838235, Gx=-5.557252, Gy=0.511450, Gz=-0.190840, Ax=-0.489990, Ay=-0.768799, Az=0.269287
  t=22.932353, Gx=-5.755725, Gy=0.549618, Gz=-0.129771, Ax=-0.485352, Ay=-0.781738, Az=0.267334
  t=22.979412, Gx=-5.954198, Gy=0.870229, Gz=-0.229008, Ax=-0.495117, Ay=-0.788330, Az=0.265869
  t=22.979412, Gx=-5.870229, Gy=0.641221, Gz=-0.198473, Ax=-0.495117, Ay=-0.778564, Az=0.275879
  t=23.685294, Gx=-6.740458, Gy=-0.068702, Gz=-0.343511, Ax=-0.493408, Ay=-0.779785, Az=0.269775
  t=23.073529, Gx=-6.526718, Gy=0.229008, Gz=-0.480916, Ax=-0.494629, Ay=-0.782959, Az=0.275879
  t=23.167647, Gx=-5.480916, Gy=1.282443, Gz=0.022901, Ax=-0.497803, Ay=-0.778809, Az=0.268799
  t=23.120588, Gx=-5.038168, Gy=0.595420, Gz=0.603053, Ax=-0.492188, Ay=-0.778320, Az=0.271240
  t=23.167647, Gx=-5.465649, Gy=0.236641, Gz=0.068702, Ax=-0.491699, Ay=-0.790283, Az=0.272217
  t=23.261765, Gx=-5.030534, Gy=0.862595, Gz=0.419847, Ax=-0.487793, Ay=-0.779053, Az=0.282715
  t=23.214706, Gx=-5.381679, Gy=0.595420, Gz=0.267176, Ax=-0.491455, Ay=-0.781250, Az=0.268311
  t=23.261765, Gx=-6.419847, Gy=0.725191, Gz=-0.801527, Ax=-0.491455, Ay=-0.785156, Az=0.259277
  t=23.261765, Gx=-5.816794, Gy=0.549618, Gz=0.068702, Ax=-0.511230, Ay=-0.790771, Az=0.250000
  t=23.261765, Gx=-5.954198, Gy=0.381679, Gz=-0.244275, Ax=-0.490967, Ay=-0.776855, Az=0.261230
  t=23.355882, Gx=-5.908397, Gy=0.641221, Gz=-0.045802, Ax=-0.488770, Ay=-0.783691, Az=0.261963
  t=23.402941, Gx=-5.931298, Gy=0.351145, Gz=-0.251908, Ax=-0.497559, Ay=-0.786133, Az=0.263672
  t=23.450000, Gx=-5.801527, Gy=0.450382, Gz=-0.160305, Ax=-0.497070, Ay=-0.785645, Az=0.267578
  t=23.402941, Gx=-5.931298, Gy=0.595420, Gz=-0.290076, Ax=-0.498779, Ay=-0.796631, Az=0.270264
  t=23.497059, Gx=-5.984733, Gy=0.572519, Gz=-0.198473, Ax=-0.494385, Ay=-0.782959, Az=0.272461
  t=23.402941, Gx=-5.770992, Gy=0.541985, Gz=-0.175573, Ax=-0.492432, Ay=-0.768066, Az=0.269531
  t=23.450000, Gx=-6.091603, Gy=0.381679, Gz=-0.312977, Ax=-0.499268, Ay=-0.781982, Az=0.265137
  t=23.591176, Gx=-5.557252, Gy=0.816794, Gz=0.061069, Ax=-0.494873, Ay=-0.777100, Az=0.266113
  t=23.638235, Gx=-6.068702, Gy=0.412214, Gz=-0.412214, Ax=-0.491211, Ay=-0.780762, Az=0.269043
  t=23.638235, Gx=-4.862595, Gy=1.633588, Gz=-0.290076, Ax=-0.493164, Ay=-0.768311, Az=0.275635
  t=23.685294, Gx=-7.442748, Gy=0.587786, Gz=-1.015267, Ax=-0.491943, Ay=-0.796875, Az=0.251465
  t=23.544118, Gx=-5.473282, Gy=1.053435, Gz=0.038168, Ax=-0.488525, Ay=-0.791016, Az=0.272461
  t=23.732353, Gx=-5.259542, Gy=0.870229, Gz=-0.038168, Ax=-0.494629, Ay=-0.783936, Az=0.263184
  t=24.391176, Gx=-6.114504, Gy=0.068702, Gz=-0.396947, Ax=-0.493164, Ay=-0.787354, Az=0.263184
  t=23.779412, Gx=-5.969466, Gy=0.633588, Gz=-0.091603, Ax=-0.497070, Ay=-0.783447, Az=0.260498
  t=24.438235, Gx=-5.870229, Gy=0.526718, Gz=-0.137405, Ax=-0.495361, Ay=-0.788330, Az=0.264160
  t=23.732353, Gx=-7.770992, Gy=0.648855, Gz=-0.290076, Ax=-0.489746, Ay=-0.784912, Az=0.273438
