  t=45.379412, Gx=-52.526718, Gy=5.297710, Gz=0.580153, Ax=0.408813, Ay=-0.954407, Az=-0.047974
  t=44.814706, Gx=-50.366412, Gy=10.229008, Gz=0.633588, Ax=0.411560, Ay=-0.979675, Az=-0.078064
  t=45.332353, Gx=30.732824, Gy=-7.511450, Gz=0.534351, Ax=0.459839, Ay=-0.954407, Az=-0.036987
  t=45.332353, Gx=1.145038, Gy=7.671756, Gz=0.595420, Ax=0.432922, Ay=-0.946472, Az=-0.086914
  t=45.332353, Gx=-11.977099, Gy=-30.610687, Gz=0.496183, Ax=0.468018, Ay=-0.986206, Az=-0.093628
  t=44.814706, Gx=-57.129771, Gy=6.473282, Gz=0.610687, Ax=0.436157, Ay=-1.007019, Az=-0.108643
  t=45.097059, Gx=-29.259542, Gy=25.687023, Gz=0.580153, Ax=0.488098, Ay=-0.999878, Az=-0.074219
  t=44.814706, Gx=12.832061, Gy=-14.748092, Gz=0.618321, Ax=0.457214, Ay=-0.970276, Az=-0.070923
  t=45.379412, Gx=-42.045802, Gy=-5.664122, Gz=0.633588, Ax=0.487366, Ay=-0.993774, Az=-0.068909
  t=46.273529, Gx=-15.473282, Gy=9.847328, Gz=0.610687, Ax=0.455933, Ay=-0.958618, Az=-0.062439
  t=45.614706, Gx=-29.053435, Gy=23.938931, Gz=0.610687, Ax=0.383362, Ay=-1.007141, Az=-0.035339
  t=44.861765, Gx=-30.770992, Gy=46.923664, Gz=0.618321, Ax=0.407959, Ay=-1.050171, Az=-0.061707
  t=45.755882, Gx=-23.175573, Gy=9.328244, Gz=0.618321, Ax=0.479553, Ay=-0.971069, Az=-0.033997
  t=46.132353, Gx=7.938931, Gy=-1.045802, Gz=0.549618, Ax=0.444458, Ay=-0.953247, Az=-0.058411
  t=44.814706, Gx=6.687023, Gy=1.000000, Gz=0.557252, Ax=0.434937, Ay=-0.957214, Az=-0.063171
  t=46.179412, Gx=-3.458015, Gy=2.816794, Gz=0.572519, Ax=0.466553, Ay=-0.974976, Az=-0.053040
  t=46.273529, Gx=13.992366, Gy=-1.343511, Gz=0.549618, Ax=0.404602, Ay=-0.970825, Az=-0.073181
  t=45.614706, Gx=-23.175573, Gy=2.198473, Gz=0.526718, Ax=0.450867, Ay=-0.966736, Az=-0.052979
  t=46.132353, Gx=6.251908, Gy=-1.908397, Gz=0.534351, Ax=0.474304, Ay=-0.979492, Az=-0.045288
  t=46.179412, Gx=-7.625954, Gy=1.824427, Gz=0.534351, Ax=0.463440, Ay=-0.983032, Az=-0.046265
  t=45.191176, Gx=1.083969, Gy=-6.137405, Gz=0.534351, Ax=0.467957, Ay=-0.980652, Az=-0.043091
  t=45.238235, Gx=16.793893, Gy=-6.251908, Gz=0.549618, Ax=0.446594, Ay=-0.981689, Az=-0.062073
  t=45.191176, Gx=14.442748, Gy=-5.893130, Gz=0.679389, Ax=0.444885, Ay=-0.974731, Az=-0.067078
  t=45.379412, Gx=14.282443, Gy=-7.122137, Gz=0.557252, Ax=0.445374, Ay=-0.977783, Az=-0.057678
  t=45.332353, Gx=2.625954, Gy=0.519084, Gz=0.618321, Ax=0.445740, Ay=-0.962952, Az=-0.055847
