  t=36.532353, Gx=0.000000, Gy=0.000000, Gz=0.000000, Ax=0.000000, Ay=0.000000, Az=0.000000
  t=35.732353, Gx=8.541985, Gy=11.213740, Gz=-18.045802, Ax=-0.520508, Ay=0.013916, Az=0.731201
  t=35.026471, Gx=68.809160, Gy=-64.167939, Gz=-0.068702, Ax=-0.719971, Ay=0.075439, Az=0.686768
  t=34.979412, Gx=64.091603, Gy=18.351145, Gz=2.259542, Ax=-0.633789, Ay=-0.004395, Az=0.824219
  t=35.214706, Gx=23.351145, Gy=32.755725, Gz=-10.320611, Ax=-0.648438, Ay=-0.043457, Az=0.788574
  t=35.450000, Gx=8.335878, Gy=23.427481, Gz=-3.519084, Ax=-0.564209, Ay=-0.027100, Az=0.793945
  t=35.685294, Gx=-5.458015, Gy=-13.664122, Gz=10.839695, Ax=-0.589355, Ay=-0.043701, Az=0.773682
  t=35.732353, Gx=-1.198473, Gy=0.862595, Gz=13.091603, Ax=-0.581787, Ay=-0.030762, Az=0.736816
  t=35.826471, Gx=-6.755725, Gy=-24.809160, Gz=1.083969, Ax=-0.593994, Ay=-0.019287, Az=0.745850
  t=35.967647, Gx=6.450382, Gy=-16.015267, Gz=0.969466, Ax=-0.563965, Ay=-0.025635, Az=0.769531
  t=36.155882, Gx=-10.916031, Gy=-26.267176, Gz=-7.374046, Ax=-0.682617, Ay=0.008789, Az=0.687988
  t=36.202941, Gx=-13.343511, Gy=-0.610687, Gz=1.854962, Ax=-0.596436, Ay=-0.018311, Az=0.799561
  t=36.202941, Gx=-10.419847, Gy=1.839695, Gz=-7.274809, Ax=-0.654297, Ay=-0.043701, Az=0.757812
  t=36.391176, Gx=-4.328244, Gy=-3.877863, Gz=-12.984733, Ax=-0.620605, Ay=0.000000, Az=0.774170
  t=36.391176, Gx=-7.045802, Gy=46.099237, Gz=-21.282443, Ax=-0.596191, Ay=-0.008057, Az=0.664307
  t=36.579412, Gx=-11.000000, Gy=-30.290076, Gz=41.045802, Ax=-0.619141, Ay=-0.065186, Az=0.837402
  t=36.344118, Gx=-30.687023, Gy=-9.595420, Gz=52.229008, Ax=-0.503174, Ay=-0.131348, Az=0.785889
  t=36.202941, Gx=46.557252, Gy=-49.664122, Gz=42.175573, Ax=-0.709473, Ay=-0.005615, Az=0.802734
